#full_name,epoch_mjd,q,e,i,w,om,tp_cal,orbit_id,neo,M1,M2,diameter,extent,albedo,rot_per,per_y,moid,sigma_per,K1,K2
"     C/2002 X11 (SOHO)",52617.39,0.0050,1.0,143.40,91.10,13.86,20021209.3900000,SAO_2008,,,,,,,,,,,,
"     C/2002 X12 (SOHO)",52618.01,0.0051,1.0,139.96,99.76,25.65,20021210.0100000,SAO_2008,,,,,,,,,,,,
"     C/2002 X13 (SOHO)",52611.54,0.0050,1.0,137.25,34.61,305.70,20021203.5400000,SAO_2008,,,,,,,,,,,,
"     C/2002 X14 (SOHO)",52620.3,0.0042,1.0,144.59,83.49,4.59,20021212.3000000,SAO_2008,,,,,,,,,,,,
"     C/2002 X15 (SOHO)",52622.10,0.0048,1.0,133.28,104.95,33.03,20021214.1000000,SAO_2008,,,,,,,,,,,,
"     C/2002 X16 (SOHO)",52619.02,0.0051,1.0,145.02,77.80,0.57,20021211.0200000,SAO_2008,,,,,,,,,,,,
"     C/2002 Y1 (Juels-Holvorcem)",52680,.7138096504647243,.997151886834295,103.7815428212457,128.8155676340911,166.2200963625665,20030413.2480848,"JPL 27",,9.5,14.5,,,,,3967.76519004816,.117584,1002.6,16.75,5.
"     C/2002 Y2 (SOHO)",52627.79,0.0400,1.0,73.52,57.48,74.51,20021219.7900000,SAO_2008,,,,,,,,,,,,
"     C/2002 Y3 (SOHO)",52626.94,0.0049,1.0,146.92,74.99,356.64,20021218.9400000,SAO_2008,,,,,,,,,,,,
"     C/2002 Y4 (SOHO)",52634.51,0.0055,1.0,147.76,71.96,353.20,20021226.5100000,SAO_2008,,,,,,,,,,,,
"     C/2003 A2 (Gleason)",52772,11.42729387590735,1.006963536857116,8.061564728352648,346.612069879771,154.5446257330101,20031104.2989053,"JPL 18",,9.5,,,,,,,10.4414,,4.75,
"     C/2003 A3 (SOHO)",52646.27,0.0055,1.0,140.05,76.40,350.46,20030107.2700000,SAO_2008,,,,,,,,,,,,
"     C/2003 A4 (SOHO)",52655.46,0.0071,1.0,144.57,87.65,9.57,20030116.4600000,SAO_2008,,,,,,,,,,,,
"     C/2003 A5 (SOHO)",52655.05,0.0048,1.0,144.84,89.76,12.29,20030116.0500000,SAO_2008,,,,,,,,,,,,
"     C/2003 B1 (SOHO)",52656.08,0.0355,1.0,73.36,56.25,74.15,20030117.0800000,SAO_2008,,,,,,,,,,,,
"     C/2003 B2 (SOHO)",52658.37,0.0049,1.0,144.97,86.68,7.39,20030119.3700000,SAO_2008,,,,,,,,,,,,
"     C/2003 B3 (SOHO)",52662.29,0.0051,1.0,144.73,80.30,3.77,20030123.2900000,SAO_2008,,,,,,,,,,,,
"     C/2003 C1 (SOHO)",52674.49,0.0049,1.0,140.05,74.03,347.03,20030204.4900000,SAO_2008,,,,,,,,,,,,
"     C/2003 C2 (SOHO)",52679.93,0.0047,1.0,144.47,89.57,11.52,20030209.9300000,SAO_2008,,,,,,,,,,,,
"     C/2003 C3 (SOHO)",52681.21,0.0050,1.0,142.05,88.56,8.91,20030211.2100000,SAO_2008,,,,,,,,,,,,
"     C/2003 C4 (SOHO)",52684.58,0.0051,1.0,145.05,86.95,8.77,20030214.5800000,SAO_2008,,,,,,,,,,,,
"     C/2003 C5 (SOHO)",52687.05,0.0049,1.0,144.42,80.73,1.84,20030217.0500000,SAO_2008,,,,,,,,,,,,
"     C/2003 C6 (SOHO)",52678.76,0.0051,1.0,146.81,69.69,351.72,20030208.7600000,SAO_2008,,,,,,,,,,,,
"     C/2003 D1 (SOHO)",52699.10,0.0052,1.0,144.70,87.09,9.68,20030301.1000000,SAO_2008,,,,,,,,,,,,
"     C/2003 E1 (NEAT)",52927,3.244958773925023,.7635832867379051,33.53782023177185,103.8592766195925,137.0699871804099,20040213.6050616,"JPL 31",,13.7,,,,,,50.8516108313478,2.4444,1.4143,4.5,
"     C/2003 E2 (SOHO)",52702.78,0.0049,1.0,144.06,83.69,2.57,20030304.7800000,SAO_2008,,,,,,,,,,,,
"     C/2003 E3 (SOHO)",52710.08,0.0051,1.0,145.29,85.61,7.97,20030312.0800000,SAO_2008,,,,,,,,,,,,
"     C/2003 E4 (SOHO)",52714.15,0.0050,1.0,144.66,87.98,9.37,20030316.1500000,SAO_2008,,,,,,,,,,,,
"     C/2003 F1 (LINEAR)",52790,4.007798837901356,.8060340151788754,70.22151299655852,121.188131877479,87.48765170949891,20030628.4600847,"JPL 32",,8.3,11.8,,,,,93.9244609111231,3.35307,4.5947,10.,5.
"     P/2003 F2 (NEAT)",52735,2.977206553025519,.5422493948647836,11.60453303072527,191.592692448005,359.0285748278428,20030414.7824124,"JPL 8",,13.7,16.2,,,,,16.587397834328,1.97932,2.2025,10.,5.
"     C/2003 F3 (SOHO)",52719.3,0.0049,1.0,144.59,88.18,9.82,20030321.3000000,SAO_2008,,,,,,,,,,,,
"     C/2003 F4 (SOHO)",52723.96,0.0051,1.0,145.06,84.78,8.50,20030325.9600000,SAO_2008,,,,,,,,,,,,
"     C/2003 F5 (SOHO)",52728.8,0.0049,1.0,144.55,88.12,10.01,20030330.8000000,SAO_2008,,,,,,,,,,,,
"     C/2003 G1 (LINEAR)",52876,4.916288406632204,1.001379164136712,66.84930801200645,11.42248472732003,246.0887854007156,20030203.6547397,"JPL 56",,6.2,9.5,,,,,,3.91684,,9.75,5.
"     C/2003 G2 (LINEAR)",52744,1.553361468559663,.9964135746331457,96.16660847244172,190.6737227455584,24.56771129773576,20030429.9262840,"JPL 7",,16.7,18.8,,,,,9014.13998351375,.560853,963540.,10.,5.
"     C/2003 G3 (SOHO)",52734.3,0.0168,1.0,169.70,174.63,87.61,20030405.3000000,SAO_2008,,,,,,,,,,,,
"     C/2003 G4 (SOHO)",52731.78,0.0050,1.0,147.49,82.80,1.78,20030402.7800000,SAO_2008,,,,,,,,,,,,
"     C/2003 G5 (SOHO)",52735.85,0.0051,1.0,144.12,83.04,4.20,20030406.8500000,SAO_2008,,,,,,,,,,,,
"     C/2003 H1 (LINEAR)",52881,2.239626029928125,.9991567896297403,138.6672133413904,196.1395944675004,19.00048601159876,20040222.6235177,"JPL 46",,11.0,,,,,,136888.685542408,1.25681,160300.,4.5,
"     C/2003 H2 (LINEAR)",52781,2.178515642069911,.9429101216932436,74.21753999068206,155.0821634115708,79.83801752595801,20030517.9688452,"JPL 16",,14.2,16.6,,,,,235.727662788909,1.22565,173.27,10.,5.
"     C/2003 H3 (NEAT)",52852,2.901439352562599,.9997817496843513,42.81167542999061,6.477415789263616,269.4172350286607,20030424.2308419,"JPL 34",,11.8,,,,,,1532837.53746044,1.88778,1.6551E7,5.5,
"     C/2003 H5 (SOHO)",52756.48,0.0351,1.0,71.35,56.64,75.17,20030427.4800000,SAO_2008,,,,,,,,,,,,
"     C/2003 H6 (SOHO)",52759.56,0.0264,1.0,27.05,80.67,243.47,20030430.5600000,SAO_2008,,,,,,,,,,,,
"     C/2003 H7 (SOHO)",52759.57,0.0266,1.0,27.90,82.57,242.66,20030430.5700000,SAO_2008,,,,,,,,,,,,
"     C/2003 H8 (SOHO)",52752.38,0.0050,1.0,144.12,86.27,8.63,20030423.3800000,SAO_2008,,,,,,,,,,,,
"     C/2003 H9 (SOHO)",52754.03,0.0048,1.0,143.76,84.60,8.35,20030425.0300000,SAO_2008,,,,,,,,,,,,
"     C/2003 H10 (SOHO)",52758.37,0.0050,1.0,143.83,83.06,5.90,20030429.3700000,SAO_2008,,,,,,,,,,,,
"     C/2003 H11 (SOHO)",52758.8,0.0051,1.0,137.20,43.23,306.78,20030429.8000000,SAO_2008,,,,,,,,,,,,
"     C/2003 H12 (SOHO)",52760.28,0.0051,1.0,144.35,85.33,5.25,20030501.2800000,SAO_2008,,,,,,,,,,,,
"     C/2003 J1 (NEAT)",52839,5.12542490657736,.9911275595226937,98.31346542985749,196.0289374489238,122.0331799314382,20031010.6048581,"JPL 13",,11.3,,,,,,13884.7598632044,4.14203,38169.,4.5,
"     C/2003 J2 (SOHO)",52760.62,0.0051,1.0,143.39,84.94,7.47,20030501.6200000,SAO_2008,,,,,,,,,,,,
"     C/2003 J3 (SOHO)",52765.17,0.0050,1.0,142.82,84.58,8.48,20030506.1700000,SAO_2008,,,,,,,,,,,,
"     C/2003 J4 (SOHO)",52765.34,0.0050,1.0,144.58,89.29,12.80,20030506.3400000,SAO_2008,,,,,,,,,,,,
"     C/2003 J5 (SOHO)",52767.72,0.0051,1.0,143.94,89.21,11.87,20030508.7200000,SAO_2008,,,,,,,,,,,,
"     C/2003 J6 (SOHO)",52769.21,0.0055,1.0,143.08,90.64,16.55,20030510.2100000,SAO_2008,,,,,,,,,,,,
"     C/2003 J7 (SOHO)",52774.56,0.0074,1.0,141.86,70.61,349.09,20030515.5600000,SAO_2008,,,,,,,,,,,,
"     C/2003 J8 (SOHO)",52775.61,0.0050,1.0,144.29,82.44,3.18,20030516.6100000,SAO_2008,,,,,,,,,,,,
"     C/2003 J9 (SOHO)",52775.14,0.0050,1.0,144.18,90.62,14.40,20030516.1400000,SAO_2008,,,,,,,,,,,,
"     C/2003 K1 (Spacewatch)",52789,2.087130139010686,.9501034613645812,129.8313949119337,314.475765579292,250.0558385245489,20021221.1522665,"JPL 9",,14.1,16.4,,,,,270.537123207069,1.23662,15694.,8.5,5.
"     C/2003 K3 (SOHO)",52791.253,0.13918,1.0,39.529,108.456,79.076,20030601.2530000,SAO_2008,,,,,,,,,,,,
"     C/2003 K4 (LINEAR)",53171,1.023616718479539,1.000300703408358,134.2525183648013,198.4427076902601,18.67572241685174,20041013.7188580,"JPL 100",,7.5,,,,,,,.0478619,,7.,
"     C/2003 K5 (SOHO)",52780.35,0.0348,1.0,72.50,55.74,74.11,20030521.3500000,SAO_2008,,,,,,,,,,,,
"     C/2003 K6 (SOHO)",52789.12,0.0372,1.0,71.87,56.44,73.67,20030530.1200000,SAO_2008,,,,,,,,,,,,
"     C/2003 K7 (SOHO)",52783.82,0.0051,1.0,144.15,89.70,12.35,20030524.8200000,SAO_2008,,,,,,,,,,,,
"     C/2003 K8 (SOHO)",52781.91,0.0076,1.0,135.87,95.31,28.75,20030522.9100000,SAO_2008,,,,,,,,,,,,
"     C/2003 K9 (SOHO)",52783.87,0.0041,1.0,144.48,81.52,1.39,20030524.8700000,SAO_2008,,,,,,,,,,,,
"     C/2003 K10 (SOHO)",52786.20,0.0050,1.0,144.20,82.94,3.91,20030527.2000000,SAO_2008,,,,,,,,,,,,
"     C/2003 K11 (SOHO)",52786.64,0.0050,1.0,141.58,92.22,17.80,20030527.6400000,SAO_2008,,,,,,,,,,,,
"     C/2003 K12 (SOHO)",52788.59,0.0091,1.0,136.80,81.85,4.80,20030529.5900000,SAO_2008,,,,,,,,,,,,
"     C/2003 K13 (SOHO)",52783.38,0.0057,1.0,148.89,72.92,348.81,20030524.3800000,SAO_2008,,,,,,,,,,,,
"     C/2003 L2 (LINEAR)",52899,2.864798011325372,.9814512304485367,82.0510843204008,119.8409592101385,273.5592167800635,20040119.1906739,"JPL 33",,12.7,,,,,,1919.44889521645,2.26492,329.2,4.5,
"     C/2003 L3 (SOHO)",52792.96,0.0050,1.0,142.65,94.51,18.74,20030602.9600000,SAO_2008,,,,,,,,,,,,
"     C/2003 L4 (SOHO)",52796.31,0.0050,1.0,141.93,95.86,20.72,20030606.3100000,SAO_2008,,,,,,,,,,,,
"     C/2003 L5 (SOHO)",52800.60,0.0050,1.0,144.23,82.97,3.81,20030610.6000000,SAO_2008,,,,,,,,,,,,
"     C/2003 L6 (SOHO)",52800.29,0.0050,1.0,135.18,103.35,32.28,20030610.2900000,SAO_2008,,,,,,,,,,,,
"     C/2003 L7 (SOHO)",52804.53,0.0057,1.0,133.71,107.86,37.11,20030614.5300000,SAO_2008,,,,,,,,,,,,
"     C/2003 L8 (SOHO)",52806.09,0.0043,1.0,141.60,91.79,14.55,20030616.0900000,SAO_2008,,,,,,,,,,,,
